siteID,plotID,pointID,latitude,longitude,datum,utmZone,easting,northing,horzUncert,elevation,vertUncert,minElev,maxElev,slope,aspect,nlcdClass,soilOrder
ABBY,ABBY_001,41,45.772619,-122.346369,WGS84,10N,550819.025,5068992.14,0.26,302.62,0.3,297.45,307.65,7.8,135,evergreenForest,Andisols
ABBY,ABBY_006,41,45.754053,-122.298512,WGS84,10N,554557.953,5066960.965,0.22,534.21,0.22,517.31,543.12,24.23,225,evergreenForest,Andisols
ABBY,ABBY_014,41,45.751186,-122.317373,WGS84,10N,553093.765,5066629.74,0.36,466.02,0.4,450.32,481.29,24.23,225,evergreenForest,Inceptisols
ABBY,ABBY_016,41,45.746995,-122.332415,WGS84,10N,551927.684,5066154.244,0.13,379.84,0.16,379.84,387.23,5.94,135,evergreenForest,Andisols
ABBY,ABBY_025,41,45.76953,-122.324489,WGS84,10N,552523.063,5068663.055,0.2,321.8,0.25,314.7,325.76,12.68,135,mixedForest,Andisols
ABBY,ABBY_029,41,45.764081,-122.313751,WGS84,10N,553363.209,5068064.748,0.28,359.9,0.27,354.6,359.97,6.84,44.8,mixedForest,Andisols
ABBY,ABBY_062,41,45.763476,-122.328069,WGS84,10N,552250.407,5067986.697,0.14,342.17,0.19,338.25,351.7,6.84,57,evergreenForest,Andisols
ABBY,ABBY_068,41,45.76051,-122.328493,WGS84,10N,552220.15,5067656.886,0.1,365.43,0.14,364.19,366.02,2,0,evergreenForest,Andisols
ABBY,ABBY_073,41,45.762944,-122.324601,WGS84,10N,552520.534,5067931.315,0.1,336.52,0.1,333.72,343.5,21.55,180,evergreenForest,Andisols
GRSM,GRSM_004,41,35.690178,-83.536321,WGS84,17N,270492.519,3952550.286,0.24,442.2,0.29,438.73,448.43,0.11,241.5,deciduousForest,Ultisols
GRSM,GRSM_006,41,35.6789,-83.645325,WGS84,17N,260592.942,3951559.444,0.24,522.7,0.43,518.25,530.34,13.12,173.7,deciduousForest,Inceptisols
GRSM,GRSM_012,41,35.670778,-83.481653,WGS84,17N,275385.877,3950271.463,0.13,894.27,0.17,889.18,900.98,4.57,169,deciduousForest,Inceptisols
GRSM,GRSM_016,41,35.593016,-83.474652,WGS84,17N,275802.481,3941628.53,0.18,1776.69,0.26,1773.51,1783.33,5.82,159.4,evergreenForest,Inceptisols
GRSM,GRSM_026,41,35.683538,-83.644152,WGS84,17N,260712.995,3952071.16,0.09,556.4,0.1,547.62,563.03,8.19,26.7,evergreenForest,Ultisols
GRSM,GRSM_029,41,35.592538,-83.471993,WGS84,17N,276042.128,3941569.436,0.24,1784.94,0.45,1780.95,1788.74,4.69,152,evergreenForest,Inceptisols
GRSM,GRSM_050,41,35.684967,-83.50388,WGS84,17N,273413.931,3951896.801,0.16,674.29,0.18,667.97,684.34,5.14,230,deciduousForest,Inceptisols
GRSM,GRSM_056,41,35.687095,-83.504948,WGS84,17N,273323.283,3952135.251,0.09,635.37,0.13,624.18,645.33,12.95,326,deciduousForest,Ultisols
GRSM,GRSM_060,41,35.68601,-83.503985,WGS84,17N,273407.337,3952012.651,0.12,639.31,0.15,631.08,650.6,11.64,292,deciduousForest,Ultisols
STEI,STEI_003,41,45.82494,-90.072607,WGS84,15N,727385.8951,5078765.385,0.39,502.42,0.48,500.55,505.44,4.35,102.2,deciduousForest,Spodosols
STEI,STEI_006,41,45.817458,-90.078389,WGS84,15N,726967.2034,5077917.78,0.25,507.56,0.44,502.62,507.76,0.97,93,deciduousForest,Spodosols
STEI,STEI_009,41,45.82204,-90.089055,WGS84,15N,726120.0226,5078396.553,0.18,506.03,0.3,500.51,509.53,5.43,108,deciduousForest,Spodosols
STEI,STEI_015,41,45.810959,-90.099612,WGS84,15N,725344.7736,5077135.568,0.29,511.58,0.33,508.68,513.86,3.21,230,deciduousForest,Spodosols
STEI,STEI_018,41,45.797067,-90.074154,WGS84,15N,727379.2043,5075664.309,0.22,515.29,0.3,513.01,518.73,0,0,deciduousForest,Spodosols
STEI,STEI_046,41,45.504592,-89.586589,WGS84,16N,297935.646,5042261.198,0.24,470.8,0.31,470.33,472.04,0,0,deciduousForest,Spodosols
