filename,plotID,density,replicate,site,plot_area_ground,den,maxZ,rumple,deepgap.fraction,mean.max.canopy.ht,max.canopy.ht,top.rugosity,vert.sd,sd.sd,GFP,VAI,VCI,vertCV,q0,q25,q50,q75,q100,fhd,gini,LAI,LAI_subcanopy
density_10_1_ABBY_001_2019.las,ABBY_001,10,1,ABBY,1596.824478,10.02427018,52.394,8.479048387,0.05056514,33.30199566,52.394,13.32284443,15.46874882,3.838671598,0.956573775,4.70030702,0.800886777,0.61858845,0.5,6.108,30.248,38.228,52.394,3.384285162,0.348489914,3.029360316,1.36248517
density_10_1_ABBY_006_2019.las,ABBY_006,10,1,ABBY,1596.260522,10.10173451,47.909,5.36156799,0.055919096,32.20560397,47.909,8.488210555,11.47473186,2.497648654,0.944156201,5.335095493,0.759290237,0.430515463,0.5,23.328,29.758,34.20725,47.909,3.427643639,0.229675249,2.775650919,0.897091159
density_10_1_ABBY_014_2019.las,ABBY_014,10,1,ABBY,1597.289073,9.973773855,53.83,5.597436129,0.030339084,38.80626424,53.83,7.242441132,12.15484827,3.540998141,0.950279532,5.328174155,0.742596097,0.370510267,0.501,30.891,35.796,40.251,53.83,3.496697317,0.184919042,2.4468841,0.545585867
density_10_1_ABBY_016_2019.las,ABBY_016,10,1,ABBY,1597.658635,9.978977765,50.989,6.156647032,0.027959548,36.42562598,50.989,8.31075895,12.91096985,2.845092526,0.952816992,4.743006111,0.748508726,0.439773911,0.5,26.593,33.903,38.04225,50.989,3.381792133,0.227908918,3.036047284,1.071595817
density_10_1_ABBY_025_2019.las,ABBY_025,10,1,ABBY,1596.769864,9.934430977,43.79,3.686227492,0.032123736,26.08759681,43.79,6.528662057,8.683582941,2.077221564,0.930318061,6.132827718,0.744335024,0.408194236,0.501,17.756,21.6485,26.03575,43.79,3.393129363,0.224046166,3.137649357,0.859926618
density_10_1_ABBY_029_2019.las,ABBY_029,10,1,ABBY,1598.292263,10.00380242,47.011,5.629893617,0.030339084,29.90630406,47.011,8.538502257,11.50211762,2.669555208,0.947130936,4.996796979,0.782042374,0.476554812,0.5,18.587,26.4815,32.593,47.011,3.519077655,0.264330194,2.735094831,0.83568446
density_10_1_ABBY_062_2019.las,ABBY_062,10,1,ABBY,1597.368233,10.01960579,10.687,3.074833065,0.243307555,5.479634286,10.687,2.384322909,2.137721093,0.476822995,0.868937648,2.390620912,0.46654787,0.493802711,0.5,2.60625,4.3515,5.92775,10.687,1.867513878,0.28333117,1.68273472,1.481295779
density_10_1_ABBY_068_2019.las,ABBY_068,10,1,ABBY,1596.18079,10.05149298,48.128,5.316530685,0.317668055,11.55015929,48.128,12.74687587,12.14276483,4.096106722,0.977559499,2.208307533,0.670336513,1.125859636,0.5,2.365,4.4755,19.3005,48.128,2.506372479,0.566036618,1.48615037,1.116742827
density_10_1_ABBY_073_2019.las,ABBY_073,10,1,ABBY,1596.309772,10.02687591,48.319,5.038426447,0.232599643,10.50927665,48.319,12.54314217,12.1315369,4.543739598,0.977244063,2.28247542,0.617681215,1.30095179,0.5,2.378,4.531,7.1885,48.319,2.304566521,0.582110735,1.807092576,1.449802861
density_10_1_GRSM_004_2018.las,GRSM_004,10,1,GRSM,1596.728141,9.966004601,33.244,3.382926563,0.006543724,22.55468937,33.244,4.879543128,5.624242306,1.458442435,0.861466593,9.670161411,0.67522798,0.292188864,0.512,15.40075,19.8815,23.21875,33.244,3.177703665,0.164434651,3.14215477,0.172976543
