,plotID,FSDmetric,pscore_pvalue,initial_psi,breakpoint,breakpointSE,FDR_padjust,1_breakpoint
psi1.density,ABBY_001,mean.max.canopy.ht,2.92E-06,8,6.696542605,0.201760101,4.51E-05,1
psi1.density1,ABBY_001,deepgap.fraction,1.42E-05,8,6.272091069,0.174468131,7.99E-05,1
psi1.density2,ABBY_001,rumple,3.28E-06,8,7.202155138,0.298236804,4.51E-05,1
psi1.density3,ABBY_001,top.rugosity,2.56E-06,8,7.03409426,0.400895141,4.51E-05,1
psi1.density4,ABBY_001,sd.sd,4.86E-05,8,4.818935434,0.19411272,0.000190206,1
psi1.density5,ABBY_001,fhd,0.00066637,8,6.568434179,0.848952055,0.002113595,1
psi1.density6,ABBY_006,mean.max.canopy.ht,4.34E-06,8,6.732716731,0.193015846,4.51E-05,1
psi1.density7,ABBY_006,deepgap.fraction,3.76E-05,8,4.663139228,0.063411093,0.000162021,1
psi1.density8,ABBY_006,rumple,4.28E-06,8,6.795184833,0.219743469,4.51E-05,1
psi1.density9,ABBY_006,top.rugosity,5.20E-06,8,6.729513048,0.271901936,4.51E-05,1
psi1.density10,ABBY_006,sd.sd,0.000110943,8,4.498473366,0.168480551,0.000384032,1
psi1.density12,ABBY_014,mean.max.canopy.ht,3.87E-06,8,6.76018008,0.233644847,4.51E-05,1
psi1.density14,ABBY_014,deepgap.fraction,2.46E-05,8,4.809833522,0.075408303,0.000126667,1
psi1.density15,ABBY_014,rumple,3.76E-06,8,6.818033748,0.212594862,4.51E-05,1
psi1.density16,ABBY_014,top.rugosity,9.93E-06,8,8.746405991,0.536990341,6.11E-05,1
psi1.density17,ABBY_014,sd.sd,0.000165001,8,4.693605393,0.360468675,0.000555142,1
psi1.density18,ABBY_016,mean.max.canopy.ht,6.12E-06,8,6.7600873,0.260926768,4.79E-05,1
psi1.density19,ABBY_016,deepgap.fraction,2.58E-05,8,6.08248772,0.180278753,0.000128463,1
psi1.density20,ABBY_016,rumple,5.37E-06,8,6.966574073,0.269055132,4.57E-05,1
psi1.density21,ABBY_016,top.rugosity,1.02E-05,8,8.380761729,0.483365395,6.20E-05,1
psi1.density22,ABBY_016,sd.sd,2.90E-05,8,5.202437971,0.276377433,0.000136112,1
psi1.density23,ABBY_016,fhd,0.008113497,8,5.320422275,1.368246785,0.023181421,1
psi1.density24,ABBY_025,mean.max.canopy.ht,3.60E-06,8,6.833009569,0.172831408,4.51E-05,1
psi1.density25,ABBY_025,q50,0.016128729,8,7.999917713,1.613301438,0.043493202,1
psi1.density26,ABBY_025,deepgap.fraction,8.25E-05,8,4.483479463,0.031372002,0.000289724,1
psi1.density27,ABBY_025,rumple,7.45E-06,8,6.601368252,0.181202942,5.01E-05,1
psi1.density28,ABBY_025,top.rugosity,9.84E-06,8,6.688835306,0.238738451,6.11E-05,1
psi1.density29,ABBY_025,sd.sd,0.00044003,8,4.513179729,0.271719788,0.001408096,1
psi1.density31,ABBY_025,fhd,0.009588006,8,13.70042254,2.717570015,0.027072016,1
psi1.density32,ABBY_029,mean.max.canopy.ht,1.99E-06,8,8.55968528,0.261311442,4.51E-05,1
psi1.density34,ABBY_029,q50,0.014725506,8,6.365604457,1.06049252,0.040008922,1
psi1.density36,ABBY_029,deepgap.fraction,2.58E-05,8,4.71807774,0.076153935,0.000128463,1
psi1.density38,ABBY_029,rumple,2.21E-06,8,8.551011635,0.252616159,4.51E-05,1
psi1.density39,ABBY_029,top.rugosity,2.31E-06,8,8.97052432,0.310649624,4.51E-05,1
psi1.density41,ABBY_029,sd.sd,4.17E-05,8,6.100954564,0.383079914,0.000174615,1
psi1.density42,ABBY_029,vertCV,0.009776103,8,4.212453028,0.437150044,0.027495289,1
